TABLE_NAME,COLUMN_NAME,DB_DATA_TYPE,COLUMN_KEY,EXTRA,SCRUB_EXEMPT,TO_BE_HASHED,FULL_SCRUB
DIRECT_MESSAGE,ID,int,PRI,auto_increment,N,Y,N
DIRECT_MESSAGE,FROM_USER_ID,int,MUL,,N,Y,N
DIRECT_MESSAGE,TO_USER_ID,int,MUL,,N,Y,N
DIRECT_MESSAGE,TIMESTAMP,datetime,,,Y,N,N
DIRECT_MESSAGE,MILLISECONDS,int,,,Y,N,N
DIRECT_MESSAGE,MESSAGE,longtext,,,N,N,N
DIRECT_MESSAGE,SALT,longtext,,,N,N,Y
ESCALATION,ID,int,PRI,auto_increment,N,Y,N
ESCALATION,COUNSELOR_ID,int,MUL,,N,Y,N
ESCALATION,SUBMITTER_ID,int,MUL,,N,Y,N
ESCALATION,TYPE_ID,int,MUL,,Y,N,N
ESCALATION,ADDITIONAL_INFORMATION,longtext,,,N,N,N
ESCALATION,CREATED,datetime,,,Y,N,N
ESCALATION,UPDATED,datetime,,,Y,N,N
ESCALATION,CONVERSATION_ID,int,MUL,,N,Y,N
ESCALATION,OTHER_BEHAVIOR,longtext,,,N,N,N
ESCALATION,FEEDBACK_PROVIDED,tinyint,,,Y,N,N
ESCALATION,FEEDBACK_RECEPTION,int,,,Y,N,N
ESCALATION,FEEDBACK_RECEPTION_DETAIL,longtext,,,N,N,N
ESCALATION,OTHER_SKILL,longtext,,,N,N,N
ESCALATION_BEHAVIOR,ESCALATION_ID,int,PRI,,N,Y,N
ESCALATION_BEHAVIOR,BEHAVIOR_ID,int,PRI,,N,Y,N
ESCALATION_SKILL,ESCALATION_ID,int,PRI,,N,Y,N
ESCALATION_SKILL,SKILL_ID,int,PRI,,Y,N,N
ESCALATION_TYPE,ID,int,PRI,auto_increment,Y,N,N
ESCALATION_TYPE,NAME,varchar,,,Y,N,N
ESCALATION_TYPE,DESCRIPTION,varchar,,,Y,N,N
ESCALATION_TYPE,ACTIVE,tinyint,,,Y,N,N
EXAMPLE_GOOD_EGG,ID,int,PRI,auto_increment,N,Y,N
EXAMPLE_GOOD_EGG,GOOD_EGG_TYPE_ID,int,MUL,,Y,N,N
EXAMPLE_GOOD_EGG,MESSAGE,longtext,,,N,N,N
EXAMPLE_RESPONSE,ID,int,PRI,auto_increment,Y,N,N
EXAMPLE_RESPONSE,USER_ID,int,MUL,,N,Y,N
EXAMPLE_RESPONSE,TEXT,varchar,,,N,N,N
EXAMPLE_RESPONSE,IS_FAVORITE,tinyint,,,Y,N,N
EXAMPLE_RESPONSE,LANGUAGE,varchar,,,Y,N,N
EXAMPLE_RESPONSE_MESSAGE_USAGES,MESSAGE_ID,int,PRI,,N,Y,N
EXAMPLE_RESPONSE_MESSAGE_USAGES,EXAMPLE_RESPONSE_ID,int,PRI,,Y,N,N
EXAMPLE_RESPONSE_ORDER,ID,int,PRI,auto_increment,Y,N,N
EXAMPLE_RESPONSE_ORDER,USER_ID,int,MUL,,N,Y,N
EXAMPLE_RESPONSE_ORDER,WEIGHT,int,,,Y,N,N
EXAMPLE_RESPONSE_ORDER,EXAMPLERESPONSE_ID,int,MUL,,Y,N,N
EXAMPLE_RESPONSE_TAG,ID,int,PRI,auto_increment,Y,N,N
EXAMPLE_RESPONSE_TAG,NAME,varchar,,,Y,N,N
EXAMPLE_RESPONSE_TAG,LANGUAGE,varchar,,,Y,N,N
EXAMPLE_RESPONSE_TAGS,EXAMPLE_RESPONSE_ID,int,PRI,,Y,N,N
EXAMPLE_RESPONSE_TAGS,EXAMPLE_RESPONSE_TAG_ID,int,PRI,,Y,N,N
EXPORT_JOB,ID,int,PRI,auto_increment,Y,N,N
EXPORT_JOB,EVENT_NAME,varchar,,,Y,N,N
EXPORT_JOB,PAYLOAD,longtext,,,N,N,N
EXPORT_JOB,CREATED_AT,datetime,,,Y,N,N
EXPORT_JOB,RUN_AT,datetime,MUL,,Y,N,N
EXPORT_JOB,LOCKED_AT,datetime,MUL,,Y,N,N
EXPORT_JOB,LOCKED_BY,varchar,,,Y,N,N
EXPORT_JOB,FAILURE_COUNT,int,,,Y,N,N
EXPORT_JOB,LAST_ERROR,longtext,,,N,N,N
FEEDBACK_COMMENT,ID,int,PRI,auto_increment,N,Y,N
FEEDBACK_COMMENT,FEEDBACK_ID,int,MUL,,N,Y,N
